task,status,priority ,prompt_creator,feature_category,model,in_dspy,is_optimized,signature_name,module_name,signature_description,input_descriptions,output_descriptions,test_example,training_data,validation_data,optimized_module,optimization_code,notes
"Determine whether a question is demographic, attitudinal or behavioral",First pass done,Medium,Suyash,Analyze topics,gpt-3.5-turbo,Yes,Yes,ClassifyQuestionType,ClassifyQuestionTypeModule,"Classify the question type. There are three types of questions: demographic, attitudinal, and behavioral.
Demographic questions ask about the personal background of respondents.
Attitudinal questions ask about respondents' personal perceptions and opinions on different topics.
Behavioral questions ask for data on the frequency and way in which particular actions are performed.","{""question"": ""The question to classify. The input will be a JSON with the following structure: {cell_details_json_format}""}","{""question_type"": ""The question type. Only output one of the following strings; demographic, attitudinal, behavior. Don't include any other information in the output.""}","{
        ""question"": {
            ""cell_type"": ""question"",
            ""response_format"": ""open"",
            ""description"": """",
            ""main_text"": ""What is a favorite experience or memory you have at X Park?"",
            ""response_categories"": []
        }
}",question_type_outputs_train.json,question_type_outputs_val.json,classify_question_type_few_shot_search.json,questionTypePrompts.py,"- examples were generated with GPT-4. there was minimal overlap between the training and validation sets
- TODO ignore the description field"
Assess readability of a question,Refined,High,Cassandra,Check question,gpt-3.5-turbo,Yes,Yes,AssessReadability,AssessReadabilityModule,"Assess the readability of a question to high, medium, or low. Keep in mind the following qualities, for a question to be readable:
        (1) Question should meet the inputted reading level.
        (2) Question should not contain basic spelling or grammar mistakes.
        (3) Question should be concise.
        (4) Question should not contain potential jargon (e.g. special words or expressions that are used by a particular profession or group and are difficult for others to understand) that are not defined.
        (5) Question should not contain any acronyms that are not defined.
        (6) Question should not mention proper nouns (e.g. names of specific people, places, or organizations) without describing what they are.
        (7) Question should be in active voice.
        (8) Question should have as few propositions and logical operators as possible.
        (9) Question should not have negatives or double negatives.

Please cite specific qualities that the question does or doesn't follow in your rationale. Also quote specific parts of the question in your rationale.","{""question"": ""The question to classify. The input will be a JSON with the following structure: {cell_details_json_format}"",
""reading_level"": ""The reading level to assess the question against.""}","{""readability"": ""The readability of the question. Only output one of the following strings: low, medium, or high. Don't include any other information in the output.""}",,readability_outputs_train.json,readability_outputs_val.json,assess_readability_few_shot_search_desc2.json,questionReadabilityPromptsV2.ipynb,"- BootstrapFewShotWithRandomSearch gives a validation accuracy of 68.0%. Accuracy on out-of-distribution examples is 4/13, which is a 30.8% accuracy."
Assess bias of a question,Refined,High,Cassandra,Check question,gpt-3.5-turbo,Yes,Yes,AssessBias,AssessBiasModule,"Assess whether a question is biased or not. Keep in mind the following forms of bias:
        (1) Leading questions, which are phrased in a way that suggests a particular answer is more desirable or correct. They tend to have subjective adjectives, or context-laden words that frame the question in a positive or negative light.
        (2) Making assumptions about respondents' behaviors, attitudes, or goals. These questions tend to guess information instead of asking for it.
        (3) Double-barreled questions, which ask about two or more things simultaneously.
        (4) Emotionally loaded language, which has emotionally loaded terms or phrases that imply judgment or assume a particular stance. Words that carry strong positive or negative connotations can influence respondents' emotions and responses.

Please cite specific qualities that the question does or doesn't follow in your rationale. Also quote specific parts of the question in your rationale.","{""question"": ""The question to classify. The input will be a JSON with the following structure: {cell_details_json_format}""}","{""bias"": ""Whether a question has bias or not. Output true if the question is biased, and false if the question is not biased.""}",,bias_outputs_train.json,bias_outputs_val.json,assess_bias_few_shot_search_desc.json,questionBiasPrompts.ipynb,"- For BootstrapFewShotWithRandomSearch (with descriptions in training data), average metric on validation set is 92 / 96 (95.8%)
- the few shot with random search (with descriptions in training data) got an accuracy of 13 out of 20. 65.0% accuracy on questions from the question bank
- It seems like the optimization made the module perform worse on out-of-distribution questions. I'll still go with assess_bias_few_shot_search_desc for now since it has a decent accuracy for out of distribution questions and a really good accuracy for in distribution questions"
Assess specificity of a question,Refined,High,Cassandra,Check question,gpt-3.5-turbo,Yes,Yes,AssessSpecificity,AssessSpecificityModule,"Assess whether a question is specific enough. Keep in mind the following qualities, for a question to be specific:
        (1) Question should measure only one underlying concept.
        (2) Question should refer to a specific reference frame (e.g. times and places) that is clear to the respondent.
        (3) Question should not contain any ambiguous words that could be interpreted in multiple ways. Question should contain terms that will have the same specific meaning to all respondents.
        (4) Question, not including the response categories, should not contain any predicates whose meanings are relative rather than absolute, as it is the case with quantitative adjectives or adverbs (e.g. often and frequently).

Please cite specific qualities that the question does or doesn't follow in your rationale. Also quote specific parts of the question in your rationale.","{""question"": ""The question to classify. The input will be a JSON with the following structure: {cell_details_json_format}""}","{""specificity"": ""Whether a question is specific enough. Output pass if the question is specific enough, and fail if the question lacks sufficient specificity.""}",,specificity_outputs_train.json,specificity_outputs_val.json,assess_specificity_few_shot_search_desc.json,questionSpecificityPrompts.ipynb,"- For BootstrapFewShotWithRandomSearch (with descriptions in training data), average metric on validation set is 38 / 48 (79.2%)
- the few shot with random search (with descriptions in training data) got an accuracy of 8/12 which is 67% (it got 2/5 on the trickier questions). These questions were taken out of distribution from the question design lit review"
Generate an alternative wording for a question,First pass done,High,Suyash,Generate multiple options,gpt-3.5-turbo,Yes,No,RewordQuestion,RewordQuestionModule,"You are an advanced question creator designed to use the information provided by users to create surveys, interview guides, and conversation guides that they can use for their constituents. 

Please think step-by-step and follow these instructions carefully:

1. Please read through the context that the user has provided and other questions in the same section.
2. Read the inputted question and identify 3 possible issues that may limit its effectiveness. For example does the question assume cases that may not be true?
3. Of the issues you identified, identify the most immediate, likely, and realistic issue, which may limit the effectiveness of this question in informing decision-makers of how they should address the central challenge of this survey.
4. Based on the issue you selected, please write 3 questions that may serve as superior alternatives to the one listed above, and which overcome the issue you found to be most prevalent. The questions should be independent from each other. For closed questions, please generate less than six response categories.   
5. Output the reworded questions in the requested format.","{""context"": ""The context provided by the user. The context is organized by sections. Each section starts with three hashtag characters (###) followed by a question."",
""existing_questions"": ""The other questions in the same section. The questions are organized as a list of JSONs. Each JSON follows the following structure: {cell_details_json_format}"",
""question"": ""The question to reword. The input will be a JSON with the following structure: {cell_details_json_format}""}","{""rewordings"": ""The 3 reworded questions. The output should be a list of JSONs where each element has the following structure: {question_json_format}. {json_formatting_message}""}","{
    ""question"": {
        ""response_format"": ""open"",
        ""description"": ""A question about park amenities"",
        ""main_text"": ""What kinds of amenities do you use most in local parks?"",
        ""response_categories"": []
    },
    ""format"": ""text survey""
}",,,,,"-  make sure the model doesn't modify the question description? --> dropped
- TODO: test if this works for really large questions (I think we might hit max_token limits)"
Generate an alternative question based on user's request,First pass done,High,Cassandra,Generate multiple options,gpt-3.5-turbo,Yes,No,RewordQuestionFromRequest,RewordQuestionFromRequestModule,"You are an advanced question creator designed to use the information provided by users to create surveys, interview guides, and conversation guides that they can use for their constituents. A civic leader wants to re-write the question to achieve an inputted request.

Please think step-by-step and follow these instructions carefully:

1. Please read through the context that the user has provided and other questions in the same section.
2. Read the inputted question and request and identify the key differences between the question and user request.
3. Re-write the question in 3 ways that incorporate the differences you identified. The questions should be independent from each other. For closed questions, please generate less than six response categories.
4. Output the 3 reworded questions in the requested format.","{""context"": ""The context provided by the user. The context is organized by sections. Each section starts with three hashtag characters (###) followed by a question."",
""existing_questions"": ""The other questions in the same section. The questions are organized as a list of JSONs. Each JSON follows the following structure: {cell_details_json_format}"",
""question"": ""The question to reword. The input will be a JSON with the following structure: {cell_details_json_format}"",
""format"": ""How community members will be asked the question. For example, a text survey or interview."",
""request"": ""The user request to guide the rewording process.""}","{""rewordings"": ""The 3 reworded questions. The output should be a list of JSONs where each element has the following structure: {question_json_format}. {json_formatting_message}""}","{
    ""question"": {
        ""response_format"": ""open"",
        ""description"": ""A question about park amenities"",
        ""main_text"": ""What kinds of amenities do you use most in local parks?"",
        ""response_categories"": []
    },
    ""format"": ""text survey"",
    ""request"": ""Make this question more focused on different activities people can do in the park""
}",,,,,"- currently I'm not setting a constraint on question type since depending on the user request it may change and we could let that happen for now --> dropped
- make sure the model doesn't modify the question description? --> dropped
- TODO: test if this works for really large questions (I think we might hit max_token limits)"
Switching the response format,First pass done,Low,Suyash,Switching response format,gpt-3.5-turbo,Yes,No,SwitchResponseFormat,SwitchResponseFormatModule,"Please switch the response format for the inputted question. Open questions should become closed, and closed questions should become open. Preserve as much of the original meaning as possible, but modify the question as needed to be compatible with the new response format. For example, a closed question should not ask people to elaborate on anything beyond the response categories.","{""question"": ""The question to modify. The input will be a JSON with the following structure: {cell_details_json_format}""}","{""new_question"": ""The modified question. The output should be a JSON with the following structure: {cell_details_json_format}""}","{
    ""question"": {
        ""cell_type"": ""question"",
        ""response_format"": ""open"",
        ""description"": ""A question about park amenities"",
        ""main_text"": ""What kinds of amenities do you use most in local parks?"",
        ""response_categories"": []
    }
}

{
    ""question"": {
        ""cell_type"": ""question"",
        ""response_format"": ""closed"",
        ""description"": ""A question about park amenities"",
        ""main_text"": ""What kinds of amenities do you use most in local parks?"",
        ""response_categories"": [
            {""id"": 1, ""text"": ""Playgrounds""},
            {""id"": 2, ""text"": ""Picnic areas""},
            {""id"": 3, ""text"": ""Walking trails""},
            {""id"": 4, ""text"": ""Sports fields""},
            {""id"": 5, ""text"": ""Other""}
        ]
    }
}",,,,,"- play with the balance between trying to preserve as much of the original meaning as possible and creating a new question that makes sense with a different response format. Example: the model outputted a closed question: ""Tell me about a memorable experience you had at X Park. Please describe it in detail."" This doesn't fit Yes/ No response categories --> tried to fix this in the sig_desc --> dropped"
Convert rationale to more eloquent problem statement,Refined,High,Cassandra,Check question,gpt-4o-2024-05-13,Yes,No,CleanRationale,CleanRationaleModule,"Please take the inputted question, which has been flagged to have an inputted problem. Read through the inputted rationale, which tries to explain why the question has a particular problem. Please re-write the rationale in complete sentences to help users understand gaps in the question. Please keep your response between 20 and 50 words. Please start your response with ""This question"" followed by your rationale.","{
    ""question"": ""The question to evaluate. The input will be a JSON with the following structure: {cell_details_json_format}"",
    ""problem"": ""The problem with the question. The input will be a string."",
    ""input_rationale"": ""The rationale for the problem. The input will be a string.""}","{""new_rationale"": ""The new rationale for the problem. The output will be a string.""}","{
        ""question"": {
            ""cell_type"": ""question"",
            ""response_format"": ""open"",
            ""description"": """",
            ""main_text"": ""How much do you trust your local government's decisions on public parks and how often do you visit these parks?"",
            ""response_categories"": []
        },
        ""problem"": ""lack of specificity"",
        ""input_rationale"": ""Let's think step by step in order to determine the specificity. We first need to identify if the question measures only one underlying concept. In this case, the question combines two concepts: trust in local government decisions regarding public parks and frequency of park visits. Therefore, the question is not specific in measuring only one underlying concept.""
    }",,,,,"- some of the rationales are very generic, so we should flag those and try to make them more specific --> tried to improve this
- OPTIONAL TODO: ideas for optimization is here: https://github.com/mit-ccc/coalesce-question-generation/issues/71
- will pass all rationales into this Module as a post-processing step"
Re-write a question based on some detected problem,Refined,High,Cassandra,Check question,gpt-4o-2024-05-13,Yes,No,RewriteQuestion,RewriteQuestionModule,"You are an advanced question creator designed to use the information provided by users to create surveys, interview guides, and conversation guides that they can use for their constituents. 

Please think step-by-step and follow these instructions carefully:

1. Please read through the context that the user has provided.
2. Rewrite the inputted question to address the issues identified in the input_rationale. Please return 3 re-written questions.","{""context"": ""The context provided by the user. The context is organized by sections. Each section starts with three hashtag characters (###) followed by a question."",
""question"": ""The question to re-write. The input will be a JSON with the following structure: {cell_details_json_format}"",
""input_rationale"": ""The rationale with potential issues in a question.""}","{""rewritten_questions"": ""The 3 re-written questions. The output should be a list of JSONs where each element has the following structure: {question_json_format}. {json_formatting_message}""}","{
        ""question"": {
            ""cell_type"": ""question"",
            ""response_format"": ""open"",
            ""description"": """",
            ""main_text"": ""How much do you trust your local government's decisions on public parks and how often do you visit these parks?"",
            ""response_categories"": []
        },
        ""input_rationale"": ""The question lacks specificity by combining two distinct concepts, trust in local government decisions on public parks, and frequency of park visits, which can lead to confusion and inaccurate responses.""
    }",,,,,"- OPTIONAL TODO: refine the output description to make the three questions more independent of each other. Sometimes the models don't produce 3 rewritten questions (e.g. if a question asks about two things it generates two questions that separates the two concepts out)
- Upon some testing: this module isn't very effective at actually addressing the problems with the question --> need to refine this
- OPTIONAL  TODO: Related GH issues: https://github.com/mit-ccc/coalesce-question-generation/issues/70 + https://github.com/mit-ccc/coalesce-question-generation/issues/74 + https://github.com/mit-ccc/coalesce-question-generation/issues/76 
- OPTIONAL TODO: could make sure the re-writing doesn't change the question type and response format"
Generate initial interview guide based on responses to starting prompts + generate rationale for an AI-generated question,First pass done,High,Danny,Generating initial questions with LLMs,gpt-4o-2024-05-13,Yes,No,CreateInterviewDraft,CreateDraftModule,"<role>
You are an advanced interview guide builder designed to use the information provided by users to create interview guides that they can use for their constituents.
</role>

<instructions>
Please think step-by-step and follow these instructions carefully.
1. Please read and re-read the context that the user has provided previously.
2. Please generate a title for the interview guide. The title should be brief yet descriptive, accurately capturing the core context that is being explored through this interview endeavor. 
3. Please generate a list of questions to help the user elicit useful information from their constituents. The total number of questions should be compatible with the time limit specified in the context. The proportion of open and closed questions is also defined in the context.
4. Please organize the questions into sections. Each section should have a title. The questions should progress logically and linearly through a <beginning>, <middle>, and <end> to form a full interview guide. 
5. Please review the questions provided and compose a detailed explanation for why that question is being asked of members of the given community. Please keep your response between 20 and 50 words. Use semicolons to separate list items. Please start your response with “This question” followed by your rationale. For example: “This question is being asked in order to... These rationales should populate the “rationale” field in the JSON output.
6. Ensure that your output excludes any references to the instructions provided. For example, exclude reference to <beginning>, <middle>, or <end>.

<beginning>
To construct the first few questions in your interview guide, think step-by-step and follow these instructions carefully.
1. Provide initial context on the interview, which includes the purpose, length, the nature of the interview, and how the information will be used.
2. Start with an easy-to-answer, open question that is non threatening. The question should ask for information that helps the interviewer frame the next part of the interview.
</beginning>

<middle>
To construct the next few questions in your interview guide, abide by these principles:
Principle 1. Start with concrete, accessible and easy-to-answer questions about experiences Later, when the respondent is at ease and a degree of rapport is established, it is more fruitful to ask more challenging and abstract questions.
Principle 2. The middle should consist of a short list of core questions with possible probing questions under each core question.
Principle 3. Probing questions prompt respondents to reflect on, explain, and modify initial statements. Clearinghouse probes make sure you got all the important information about a topic by encouraging respondents to volunteer additional information. Informational probes ask for additional information or explanation (e.g., “Why do you think that…” or “What do you think…“).
Principle 4. Strive for mostly open-ended questions with a few close-ended questions sprinkled throughout as breaks for respondents. Open-ended questions can start with the following stems: “Tell me about”, “Where were you when”, “Who was with you when”, What happened after”, “What did you say or do when”, “How did you feel when”, “What reasons did you have for”.
</middle>

<end>
To construct the final few questions in your interview guide, think step-by-step and follow these instructions carefully.
1. Use a clearinghouse question. Examples are “what have I not asked that you think is important for me to know?” or “have I answered all of your questions?”
2. Express appreciation or satisfaction. Examples are “I really appreciate you making time for me on such a busy time” or “Thanks for being so candid with me”.
3. Lay the groundwork for future contact. Explain what will happen next, where it will happen, when it will happen, and why it will happen.
</end>
</instructions>","{""context"": ""The context provided by the user. The context is organized by sections. Each section starts with three hashtag characters (###) followed by a question.""}","{""questions"": ""The sections and questions. The output should be a list of JSON objects enclosed in square brackets, with each object separated by a comma. Each JSON object should have the following structure: {section_json_format}."", ""title"": ""The title of the interview guide as a string.""}","### What is the problem to be solved or the decision to be made?
The Parks Department (""PD"") of a relatively small Massachusetts city (“Freeburg”) was recently granted state funds to make improvements to local parks. The PD doesn’t often receive grants of this size, so they want to make sure they use the funds effectively; if they use all the funds, they may be eligible for another grant next year.

Freeburg has 13 parks. Some are quite small, and would only require minimal improvements (e.g., tree-planting, de-weeding), whereas others will require major improvements to address safety and usability concerns.

Parks in wealthier neighborhoods of Freeburg tend to be nicer, which some residents believe may reflect a discrepancy in how tax funds are used and distributed by the city. The residents who take issue with these distributions tend to be lower-income and tend to live farther away from these parks, which have “higher-class” amenities, like tennis courts, public bathrooms, and water fountains with ground-level dog-bowl attachments. 

### What information is needed from the public to make the decision?
The parks were once well-kept, but in recent years, have been in a state of disarray, reflecting economic challenges that hit Freeburg hard during the COVID-19 pandemic. The PD needs to interview residents of the Freeburg community to understand their needs, interests, and priorities as they relate to the local parks; this information will be used to inform what kinds of improvements are made to the parks.

The PD acknowledges that some improvements made by grant funds may lead to downstream costs that would not be covered by the grant, but the PD wishes to explore these anyway, due to their impact and long-term value for community members. For example, installing stationary trash and recycling bins in each park will help to reduce litter and improve the health and safety of the parks. However, while the state grant would pay for these bins to be installed, they would not pay for any future repairs or replacements, nor would they pay for the bins to be emptied regularly, which would be the task of the local Waste Management (""WM"") service maintained by the city.

### What region is the engagement focused on? (e.g., city, county, state, national, etc.)
Freeburg

### Is the region urban, suburban, or rural? 
Suburban

### What groups of people will be affected by the outcome of the decision?
Some of the parks sit on the line with a nearby municipality, whose residents often use the parks. This may be viewed as either a challenge or opportunity by Freeburg residents, who may wish for the improved parks to be kept for their own private use, or who may wish for the parks to be shared (as they have been in the past) to expand the kinds of activities that the parks may host (for example, elementary school sporting events). 

There are several groups of constituents in the city, marked by demographic and geographic differences. Freeburg has a lower-altitude downtown (“DT”) that tends to have lower-income housing, in part due to historically long-standing social divisions, and in part due to the relatively high rate of flooding. The DT area has most of the city’s parks, but they tend to be far worse in quality, and are commonly policed (to many residents’ discomfort) to mitigate perceived issues with crime, which may or may not be the case. The DT area houses about 70% of the city’s residents, who are primarily from minority backgrounds. Freeburg also has a higher-altitude uptown (“UT”) area, whose residents tend to be higher-income. The UT area is the city’s financial and commerce district; as such, it brings in more out-of-city tourism and houses more of the city’s long-standing shopping (e.g., malls) entertainment venues (e.g., movie theaters). Residents of Freeburg are also divided by language. About 40% of the city’s residents are primarily Spanish-speaking, 8% are primarily Haitian-speaking, and 52% are primarily English-speaking. Throughout the city, signage (specifically, the languages used on public signage, such as those placed on parks) are an ongoing problem.

### Which of these groups are you engaging?
We will engage with residents in both the lower-altitude downtown (“DT”) and higher-altitude uptown (“UT”) areas.

### What form of engagement (e.g., virtual convenings, one-on-one interviews, focus groups, surveys) will best solicit the input needed from the communities you hope to engage?
One-on-one semi-structured interviews

### What is the maximum amount of time in minutes you can expect people to spend on the engagement? (e.g., 5 minutes, 30 minutes, 60 minutes, etc.)
60 minutes maximum

### What is the breakdown of open-ended and close-ended questions?
80 percent of questions are open-ended and the remaining are close-ended",,,,,- Link to some context: Step 2 Context (has some comments for things we could remove)
